工单ID,url,一级标签,二级标签,三级标签,四级标签,局点名称,问题分类,原因分类,问题标题,工单创建时间,工单结单时间,内部建单人,当前处理人,工单负责人,一线处理时长 (h),一点五线处理时长 (h),二线处理时长(h),产研处理时长(h),垂直产研处理时长(h),处理时长(h),待查根因停留时长(h),超长工单,根因描述 ,后续规避措施,备注,进阶分类
10398632,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10398632&sign=8e8b36386dff22485681c4c797c2a17a,TCE,网络,负载均衡(CLB),外网7层负载均衡(STGW-WAN),金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,业务出现异常,性能问题,【税总广东-TCE380-胡帆】7层公网clb返回499,2023-03-04 16:53:10,2023-03-11 15:12:15,p_yxiongxie,p_gwweigao,p_gwweigao,0.49,1.73,0,0,0,2.22,0,0,7层公网clb返回499，初步判断与客户网络有关,咨询,,咨询
8965023,https://link.andon.qq.com/IIukSORT,TCE,部署工具系统,dawn(曙光),dawn(曙光),广东金税信创云_互联网区-广东信创互联网-广东信创互联网AZ,使用方法咨询,性能问题,【税总广东-TCE380-覃明昊】 变更单C181741【CFS】验证阶段未找到cfs-master组件，需要协助,2022-06-07 19:22:37,2022-06-14 14:58:16,p_pjunbai,p_pjunbai,p_pjunbai,1.16,0.74,0,0.69,0,2.59,0,0,,咨询,,咨询
8469559,https://link.andon.qq.com/7Kz570HK,TCE,中间件,腾讯服务框架(TSF),腾讯服务框架(TSF),广东金税信创云_互联网区-广东信创互联网-广东信创互联网AZ,产品出现异常,性能问题,【税总广东-TCE380-刘梓龙】Tsf没有采集到20：53分后的日志，需协助解决,2022-03-24 23:36:02,2022-04-01 14:34:43,p_cjtan,p_cjtan,p_cjtan,0.05,1.07,0,0,0,1.13,0,0,es cpu打满导致日志获取不到,完善容量规划,,容量规划
9803032,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=9803032&sign=b16f5cd9ed289d2fee04b22b3d67baf9,TCE,中间件,腾讯服务框架(TSF),腾讯服务框架(TSF),四川金税新创云-四川信创云业务专网-四川信创业务AZ,产品出现异常,性能问题,【税总发票云-四川-TCE3100-王成】四川业务区tsf调用链查询报错，无法查到结果,2022-11-01 11:27:05,2022-11-14 15:10:37,p_jieellli,p_jieellli,p_jieellli,1.49,3.34,0,0,0,4.83,145.01,1,"tsf调用链查询报错，无法查到结果
通过清理历史数据解决",完善容量规划,,容量规划
10325444,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10325444&sign=514743bdac2bd3b8b295bd264fb219a6,天巡,客户端,客户端整体,日常运维,金税信创云平台二办_业务专网区-总局二办业务信创-总局二办业务信创区,产品出现异常,性能问题,【税总发票云-TCE-董小松】【天巡】 天巡pod无法拉起,2023-02-17 14:40:37,2023-02-24 15:36:16,p_bocui,p_bocui,p_bocui,0.11,0.39,0,0,0,0.5,0,0,天巡pod无法拉起，重启docker容器解决,提升可靠性,,根因不明
9984218,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=9984218&sign=acbbc39464b09903c1623490cad5fe41,TCE,安全,Web应用防火墙(WAF),Web应用防火墙(WAF),金税信创云平台二办_互联网专网区-总局二办互联网信创-总局二办互联网信创区,产品出现异常,性能问题,【税总发票云-TCE-鲔鱼】外网7层CLB域名绑定WAF防护时，无法切换至【清洗模式】，并会显示绑定LB失败,2022-11-29 11:40:30,2022-12-06 15:13:59,p_xjwen,p_xjwen,p_xjwen,0.24,3.86,0,0,0,4.1,0,0,外网7层CLB域名绑定WAF防护时，无法切换至【清洗模式】，并会显示绑定LB失败，因CLB引擎节点ip下发配置失败，页面重新配置ip后已恢复正常,前线确保配置正确,,配置
9697387,https://link.andon.tencent.com/MnfVP1yk,TCE,安全,高级威胁检测系统(NTA),高级威胁检测系统(NTA),金税信创云平台(互联网区)-总局互联网信创-互联网信创区1,产品出现异常,性能问题,【税总广东-TCE380-陈泉宏】总局互联网区 御界-高级威胁检测监控无数据 需要协助恢复,2022-10-14 00:34:29,2022-10-21 15:12:27,p_zqdeng,p_zqdeng,p_zqdeng,0.02,0.04,0,0,0,0.06,0,0,,咨询,,咨询
9537421,https://link.andon.tencent.com/ztQhJY9a,TCE,云监控,云哨,云哨,金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,产品出现异常,性能问题,【税总云发票-上海-TCE-尹旭】云哨 pod 异常状态告警 infrastore-proxy,2022-09-13 16:37:03,2022-09-13 17:45:06,p_cdyangcai,,p_cdyangcai,0.11,0.81,0,0,0,0.92,0,0,云哨 pod 异常状态告警 infrastore-proxy，通过清理pvc后修复,完善容量规划,,容量规划
8613262,https://link.andon.qq.com/V8r5oYG7,TCE,安全,主机安全(云镜租户版),主机安全(云镜租户版),金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,产品出现异常,性能问题,【税总云发票-上海-TCE-蒋宇】【云镜】互联网区租户端云镜漏洞扫描失败，提示扫描超时,2022-04-14 14:08:14,2022-04-22 14:31:10,p_anjianli,p_hwxiong,p_hwxiong,0.32,6.27,0,0,0,6.59,13.12,0, zk 配置异常导致，重刷zk，重启srv pod后恢复正常,提升可靠性,,根因不明
10417009,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10417009&sign=5a6d4065c1cb232362524f2e15528f77,TCE,云监控,云监控(Barad),云监控(Barad),青岛金税信创云_业务专网区-青岛金税信创业务专网-青岛金税信创业务专网一区,产品出现异常,性能问题,【税总发票云-青岛-TCE-包海军】青岛天巡grafana无数据的原因,2023-03-08 15:35:58,,p_yxiongxie,p_yxiongxie,p_yxiongxie,0.13,0.22,2.37,0,0,2.73,0,0,arm环境很多pod资源不够，都扩一遍修复,完善容量规划,,信创机型性能低
10334605,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10334605&sign=c0f8ff931f2001f5367164a4a6a6e3a9,天巡,中心端,中心端整体,日常运维,金税信创云平台二办_互联网专网区-总局二办互联网信创-总局二办互联网信创区,产品出现异常,性能问题,【税总发票云-TCE-仝欣】天巡巡检tcenter 巡检异常,2023-02-20 15:06:17,2023-02-27 15:14:49,p_pchenchen,p_pchenchen,p_pchenchen,0.12,0.84,0.19,0,0,1.15,0,0,"天巡巡检tcenter 巡检异常，巡检的es端口默认是9200, 但是现场环境的es端口是9201, 导致巡检失败",前线确保配置正确,,配置
8183538,https://link.andon.qq.com/TlYvnURZ,TCE,计算,容器服务(TKE),容器服务(TKE),金税信创云平台(互联网区)-总局互联网信创-互联网信创区1,产品出现异常,性能问题,"【税总发票云-TCE 380-姜鑫】【税总发票云-TCE 380】【tke】在tke集群上的node和pod上，访问本集群的Ingress,使用域名和ip都报错gateway timeout，访问其他集群的Ingress域名正常",2022-02-12 10:40:21,2022-02-19 14:30:43,p_cjtan,p_cjtan,p_cjtan,3.5,0.2,0,0.41,0,4.11,2.07,0,"在tke集群上的node和pod上，访问本集群的Ingress,使用域名和ip都报错gateway timeout，访问其他集群的Ingress域名正常",咨询,,咨询
9161877,https://link.andon.qq.com/oMPljayJ,TCE,安全,高级威胁检测系统(NTA),高级威胁检测系统(NTA),金税信创云平台(互联网区)-总局互联网信创-互联网信创区1,产品出现异常,性能问题,【税总云发票-上海-TCE-尹旭】【御界】御界主机显示连接错误，检索也无法正常使用。,2022-07-08 20:37:23,2022-07-15 14:39:54,p_qfzeng,p_qfzeng,p_qfzeng,0.1,1.62,0,0,0,1.72,0,0,"御界主机显示连接错误，检索也无法正常使用。
，重拉es 服务修复",完善容量规划,,容量规划
9071462,https://link.andon.qq.com/0TquF6nY,TCE,平台支撑,HDFS,HDFS,金税信创云平台(互联网区)-总局互联网信创-互联网信创区1,产品出现异常,性能问题,【税总发票云-TCE 380-董小松】【tcenter】天巡巡检异常,2022-06-24 10:19:47,2022-07-01 14:32:14,p_pjunbai,p_ldantang,p_ldantang,0.26,4.14,0,0,0,4.4,0,0,tdsql备份周期较长导致磁盘被占满 修改实例备份周期 hdfs会慢慢删除15天之前的备份数据,完善容量规划,,容量规划
10406978,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10406978&sign=909cda9abde0ad2c0f26f8988d622b0d,TCE,云监控,云监控(Barad),云监控(Barad),金税信创云平台二办_业务专网区-总局二办业务信创-总局二办业务信创区,产品出现异常,性能问题,【税总发票云-TCE-钟航】cvm，sdk上这个 monitor/DescribeGraphData，响应参数Partitions为空,2023-03-06 22:09:05,,p_silingui,devinhuo,p_xjwen,0.13,0,0.35,0.14,0,1.79,184.82,1,调用 sdk 需配对对应的账号id,前线确保配置正确,,配置
9606043,https://link.andon.tencent.com/E9p5xPQv,TCE,云监控,云哨,云哨,上海金税信创云_互联网区-上海信创互联网区-上海信创互联网区AZ,产品出现异常,性能问题,【税总发票云-TCE 380-仝欣】【云哨】pod异常请协助处理,2022-09-23 16:46:43,2022-09-30 15:42:26,p_lchengluo,p_lchengluo,p_lchengluo,0.05,0.7,0,0,0,0.75,0,0,"pod异常,清理VPC后恢复",咨询,,咨询
10059956,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10059956&sign=7006b002b61c787c1a0b00ad0988fa1b,TCE,中间件,消息队列(CKafka),消息队列(CKafka),金税信创云平台二办_业务专网区-总局二办业务信创-总局二办业务信创区,产品咨询,性能问题,【税总发票云-TCE-王成】总局二办业务区 3100 arm ckafka进行升配 报broker资源不够，但是看目前扩容的规格是够的,2022-12-11 16:24:20,2022-12-19 15:17:52,p_qfzeng,p_wzpwwang,p_wzpwwang,0.13,2.33,0,0,0,2.46,21.32,0,,咨询,,咨询
10078819,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10078819&sign=f75be83b9deb8d7e601306ab270d18ac,TCE,平台应用,基础平台,基础平台(租户端),青岛金税信创云_业务专网区-青岛金税信创业务专网-青岛金税信创业务专网一区,产品出现异常,性能问题,【税总发票云-青岛-TCE-罗思帆】 租户端运营端无法正常打开,2022-12-14 13:59:34,2022-12-21 15:13:34,p_jieellli,p_jieellli,p_jieellli,0.07,0,1.05,0,0,1.11,0,0,租户端运营端无法正常打开，cam-security依赖的数据库异常，设置免切异步后页面正常,前线确保配置正确,,配置
10148512,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10148512&sign=422b1adc1d0eabed2aee48bf8f72706c,天巡,客户端,巡检中心,日常运维,大连金税信创云_互联网专区-大连金税信创互联专网-大连金税信创互联专网一区,产品出现异常,性能问题,【税总发票云-大连-TCE-罗思帆】天巡tianxun-fmonitor容器日志报错,2022-12-30 14:55:37,2023-01-06 15:13:40,p_bocui,p_bocui,p_bocui,0.12,1.37,0.03,0,0,1.52,0.28,0,天巡fmonitor消费的数据没有tce3100租户端的数据,提升可靠性,,根因不明
8494382,https://link.andon.qq.com/fnRx5EU7,TDSQL,咨询,咨询,数据库使用相关,广东金税信创云_互联网区-广东信创互联网-广东信创互联网AZ,产品出现异常,性能问题,【税总发票云-TCE 380-王炳杭】【tdsql】发现总局生产环境用票库有3个PORXY不可用，检查到该PROXY进场的状态为S（D - 不可中断的睡眠态）， 目前已经在IPTABLES中屏蔽这三个PROXY。现在申请帮忙排查这三个PROXY进程状态为S（D - 不可中断的睡眠态）的原因。,2022-03-29 02:18:10,2022-04-25 14:31:24,p_xyxinyang,p_yulanhe,p_yulanhe,0,6.82,0,7.16,0,16.56,477.96,1,发现总局生产环境用票库有3个PORXY不可用，检查到该PROXY进场的状态为S（D - 不可中断的睡眠态）， 目前已经在IPTABLES中屏蔽这三个PROXY,提升可靠性,,根因不明
10378368,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10378368&sign=e2fa7b2c71811e2ba3290aca2896c131,TCE,云监控,云监控(Barad),云监控(Barad),广东金税信创云_业务专网区-广东信创业务-广东信创业务AZ,产品出现异常,性能问题,【税总广东-TCE380-钱麟】广东业务区租户端cls和cvm产品没有监控数据，进入容器tcloud-barad-nws抓包可以抓到数据,2023-02-28 22:10:46,2023-03-07 15:17:52,p_kkaicchen,p_kkaicchen,p_kkaicchen,0.07,0,1.61,0,0,1.68,0,0,有个worker罢工了，重拉topo修复,提升可靠性,,根因不明
9982470,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=9982470&sign=3e13873675553a018ddef49bfd2445ca,Andon测试归档,Andon测试归档二级,Andon测试归档三级,Andon测试归档四级,广东金税信创云_业务专网区-广东信创业务-广东信创业务AZ,产品出现异常,性能问题,【税总广东-TCE380-何俊超】需后端指导修复里约网关nginx安全漏洞,2022-11-29 09:53:37,2022-12-01 10:02:02,p_zqdeng,,p_zqdeng,0.29,0,0,0,0,0.29,0,0,,咨询,,咨询
10426478,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10426478&sign=32884a9268ad215504b3ecb0b486a47b,TCE,平台应用,基础设施(DCOS),基础设施(DCOS),甘肃金税信创云_业务专网区-甘肃金税信创业务专网-甘肃金税信创业务专网一区,产品出现异常,性能问题,【税总发票云-甘肃-TCE-钱龙文】甘肃互联网区DCOS 配置初始化失败，麻烦提个单。,2023-03-10 10:07:47,,p_kaiweiyi,p_kaiweiyi,p_kaiweiyi,0.29,0,1.99,0,0,2.28,6.42,0,"DCOS 配置初始化失败，igniter中/opt/igniter/lib/perl/igniter_plugin/ipmi.pm里ipmitool命令有问题
把ipmitool更新为ipmitool-igniter命令解决",加强功能验证,,功能异常
8276653,https://link.andon.qq.com/Hscp7B9g,高级威胁检测系统(NTA)-御界,业务服务,YujieFeatureMonitor,正式交付,金税信创云平台_备份_互联网区-总局非国产化互联网区-总局非国产化互联网区,产品出现异常,性能问题,【税总广东-TCE380-张栩浩】互联网区高级威胁检测系统功能页加载异常,2022-02-27 18:41:44,2022-03-02 09:44:16,p_ldantang,,p_andysshi,12.91,0,0,0,0,5.12,57.91,0,互联网区高级威胁检测系统功能页加载异常,咨询,,咨询
8684960,https://link.andon.qq.com/kitZiXQa,TCE,平台支撑,HDFS,HDFS,广东金税信创云_互联网区-广东信创互联网-广东信创互联网AZ,巡检发现问题,性能问题,【税总广东-TCE380-张纪祥】广东互联网支撑hdfs巡检报错只读文件是否正常,2022-04-24 14:38:56,2022-04-24 16:54:39,p_anjianli,,p_ldantang,0.06,1.99,0,0,0,2.05,0,0,"arm的机器，性能低下，响应时间会超过3秒，hdfs report显示hdfs状态正常
把巡检的timeout 3改成timeout 6后解决",优化配置基线,,信创机型性能低
10342981,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10342981&sign=5c384f508990efb11c73082098c1bc39,TCE,云监控,云监控(Barad),云监控(Barad),金税信创云平台二办_业务专网区-总局二办业务信创-总局二办业务信创区,产品出现异常,性能问题,【税总发票云-TCE-3100-董小松】 二办业务区 【bard】变更后pod一直重启,2023-02-21 19:40:23,2023-02-28 15:16:42,p_bocui,p_bocui,p_bocui,0.13,0,0.4,0,0,0.52,0,0,"pod被oomkill，kubectl edit comp -n tce tcloud-barad-nws
修改内存limit, 从1000Mi改成2000Mi， 解决",完善容量规划,,信创机型性能低
9574805,https://link.andon.tencent.com/o2NzAzQW,TCE,平台支撑,ES,ES,上海金税信创云_业务专区-上海信创业务专区-上海信创业务专区AZ,业务出现异常,性能问题,【税总云发票-上海-TCE-谭孝成】云哨告警-ces状态异常告警问题咨询,2022-09-19 16:35:46,2022-09-20 09:23:43,p_cjtan,,p_daiyimao,0.18,1.05,0,0,0,1.22,3.42,0,,咨询,,咨询
9673833,https://link.andon.tencent.com/TOPQ9vLi,TCE,平台支撑,TCS,TCS,上海金税信创云_业务专区-上海信创业务专区-上海信创业务专区AZ,产品出现异常,性能问题,【税总云发票-上海-TCE-尹旭】天巡巡检 cbs管控pod检查 磁盘使用率小于80%,2022-10-10 15:51:35,2022-10-17 15:18:42,p_xyxinyang,p_xyxinyang,p_xyxinyang,0.21,1.9,0.55,0,0,2.67,0,0,,咨询,,咨询
10300281,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10300281&sign=6cdb3c86ed10ec740df7726ddea2dd79,TCE,数据库,缓存数据库(Redis),缓存数据库(Redis),四川金税新创云-四川信创云业务专网-四川金税信创云业务AZ,产品出现异常,性能问题,【税总发票云-四川-TCE3100（ARM）-李嘉宏】redis的大key值在tce平台上怎么查询,2023-02-13 10:49:57,2023-02-20 15:23:11,p_gwweigao,p_gwweigao,p_gwweigao,0.41,1.17,0,0,0,1.58,0,0,,咨询,,咨询
9641971,https://link.andon.tencent.com/15v9RQiJ,TCE,安全,高级威胁检测系统(NTA),高级威胁检测系统(NTA),金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,产品咨询,性能问题,【税总发票云-TCE 380-王成】北京业务区NTA界面报kafka集群存在不可用节点,2022-09-30 00:33:48,2022-10-07 15:15:08,p_xuyangyin,p_xuyangyin,p_xuyangyin,0.11,1.5,0,0,0,1.62,0,0,kafka 服务异常，重拉解决,提升可靠性,,根因不明
10316069,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10316069&sign=b55bceb7d21afbf12f8775355d3b63da,TCE,云监控,云监控(Barad),云监控(Barad),金税信创云平台二办_互联网专网区-总局二办互联网信创-总局二办互联网信创区,产品出现异常,性能问题,【税总发票云-TCE-董小松】二办互联网 barad 变更单号C216997 变更更新镜像失败，请帮忙看看,2023-02-15 18:07:18,2023-02-22 15:17:08,p_pmhliu,p_pmhliu,p_pmhliu,0.1,0,0.62,0,0,0.72,0,0,,咨询,,咨询
8857366,https://link.andon.qq.com/QmPzzwQK,TCE,网络,负载均衡(CLB),内网7层负载均衡(STGW-LAN),广东金税信创云_互联网区-广东信创互联网-广东信创互联网AZ,产品出现异常,性能问题,【税总广东-TCE380-王成】https://tpass99.guangdong.chinatax.gov.cn:8443/#/login）访问报504，stgw/1.3.20.1_1.13.5,2022-05-21 19:35:30,2022-05-28 14:31:26,p_pjunbai,p_pjunbai,p_pjunbai,0.12,0.8,0,0,0,0.93,0,0,,咨询,,咨询
10296379,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10296379&sign=16b4017bfed6730e9407ac11f73c0481,TCE,存储,日志服务(CLS),日志服务(CLS),广东金税信创云_互联网区-广东信创互联网-广东信创互联网AZ,产品出现异常,性能问题,【税总广东-TCE380-覃明昊】广东互联网cls，缺失日志,2023-02-11 10:34:03,2023-03-02 15:10:17,p_pbwjiang,p_pgangyu,p_pgangyu,0.12,3.54,0.03,0,0,3.68,288.3,1,Cls业务模块estash 写入es慢，将大流量的topic调整为单副本，队列深度大的节点迁移母机，堆积问题解决,前线确保配置正确,,配置
10293873,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10293873&sign=6d5b779c38307726e4a6cb1ad21c1807,TCE,云监控,云监控(Barad),云监控(Barad),金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,产品出现异常,性能问题,【税总发票云-TCE-孟鑫】租户端cvm监控磁盘无数据显示,2023-02-10 15:47:15,2023-02-20 15:16:32,p_zpmeng,p_zpmeng,p_zpmeng,0.21,0,2.87,0,0,3.07,63.89,0,es响应太慢，清理数据解决,完善容量规划,,容量规划
10283571,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10283571&sign=7bcccc101a8c1e91053ddf5130f40f6c,TCE,云监控,云监控(Barad),云监控(Barad),金税信创云平台(业务专网区)-总局业务信创-总局业务信创区,产品出现异常,性能问题,【税总发票云-TCE-郭旭科】未来城业务区。租户端云监控dashboard监控数据加载不出来、产品监控显示网络异常,2023-02-08 17:52:58,2023-02-16 15:11:26,p_xinxyyan,p_xinxyyan,p_xinxyyan,0.56,0,2.24,0,0,2.8,14.61,0,,完善容量规划,,信创机型性能低
10274585,https://andon.cloud.tencent.com/ticket/nologin/redirect?id=10274585&sign=446867a28a2e9ddb89ab69c9aac2c844,TCE,云监控,云监控(Barad),云监控(Barad),青岛金税信创云_业务专网区-青岛金税信创业务专网-青岛金税信创业务专网一区,产品出现异常,性能问题,【税总发票云-青岛-TCE-陈浩华】青岛业务区vpcgw、jnsgw、dcgw等网关监控均无数据,2023-02-07 10:53:25,2023-02-14 15:13:18,p_gwweigao,p_gwweigao,p_gwweigao,0.1,0,0.64,0,0,0.75,8.59,0,,咨询,,咨询
8366643,https://link.andon.qq.com/7rElduVJ,TCE,云监控,云哨,云哨,广东金税信创云_互联网区-广东信创互联网-广东信创互联网AZ,产品出现异常,性能问题,【税总云发票-上海-TCE-王峻敏】【tcs】infrastore-log-gateway pod实际使用率超过阀值,2022-03-11 14:32:43,2022-03-18 14:40:34,p_anjianli,p_zleizhong,p_zleizhong,0.17,0,0,1.21,0,1.39,0,0,infrastore-log-gateway pod实际使用率超过阀值,完善容量规划,,信创机型性能低
